Rank,Coach,School, Total Pay ,Conf,Scheduled School Pay,Contract Year Pandemic Reduction,Actual School Pay,Total Pandemic Reduction,School Buyout,,as_Rank,as_Coach,as_School,as_Total Pay,as_Conf,as_Scheduled School Pay,as_Contract Year Pandemic Reduction,as_Actual School Pay,as_Total Pandemic Reduction,School Buyout,,s_Rank,s_Coach,s_School,s_Total Pay,s_Conf,s_Scheduled School Pay,s_Contract Year Pandemic Reduction,s_Actual School Pay,s_Total Pandemic Reduction,School Buyout,,Team,Win-Loss Record,Win %,MOV,ATS +/-
,,,,,,,,,as of 12/1/2021,,,,,,,,,,,as of 12/1/2020,,,,,,,,,,,as of 12/1/2020,,Alabama,13-0-0,100.00%,29.1,7.2
1,Nick Saban,Alabama," $9,753,221 ",SEC,"$9,500,000 ",$0*,"$9,500,000 ",$0*,"$38,400,000 ",,1,Steve Sarkisian,Alabama,"$2,500,000 ",SEC,"$2,500,000 ",$0 ,"$2,500,000 ",$0 ,—,,1,Mickey Marotti,Ohio State,"$787,798 ",Big Ten,"$801,150 ","$13,352 ","$787,798 ","$30,043 ",—,,BYU,11/1/2000,91.70%,28.2,9.4
2,Ed Orgeron,Louisiana State," $9,012,917 ",SEC,"$8,687,500 ","$300,000*","$8,387,500 ","$300,000*","$17,150,000 ",,2,Kevin Steele,Auburn,"$2,500,000 ",SEC,"$2,500,000 ",$0 ,"$2,500,000 ",$0 ,—,,2,Rob Glass,Oklahoma State,"$647,500 ",Big 12,"$700,000 ","$52,500 ","$647,500 ","$110,833 ",—,,Coastal Car,11/1/2000,91.70%,16.9,12
3,David Shaw,Stanford," $8,924,683 ",Pac-12,"$8,924,683 ",—,"$8,924,683 ",—,—,,3,Bo Pelini,Louisiana State,"$2,276,250 ",SEC,"$2,305,000 ","$28,750 ","$2,276,250 ","$115,000 ",—,,3,Ben Herbert,Michigan,"$645,000 ",Big Ten,"$700,000 ","$55,000 ","$645,000 ","$55,000 ",—,,LA Lafayette,10/1/2000,90.90%,11.6,1.4
4,Dabo Swinney,Clemson," $8,370,775 ",ACC,"$9,508,575 ","$1,250,000*","$8,258,575 ","$1,250,000*","$47,500,000 ",,4,Brent Venables,Clemson,"$2,161,500 ",ACC,"$2,400,000 ","$240,000 ","$2,160,000 ","$240,000 ",—,,4,Joey Batson,Clemson,"$580,000 ",ACC,"$600,000 ","$30,000 ","$570,000 ","$60,000 ",—,,Liberty,10/1/2000,90.90%,17.6,8.6
5,Lincoln Riley,Oklahoma," $7,672,710 ",Big 12,"$7,857,293 ","$214,583*","$7,642,710 ","$515,000*","$25,188,000 ",,5,Mike Elko,Texas A&M,"$2,100,000 ",SEC,"$2,100,000 ",$0 ,"$2,100,000 ",$0 ,—,,5,Jerry Schmidt,Texas A&M,"$575,000 ",SEC,"$575,000 ",$0 ,"$575,000 ",$0 ,—,,Cincinnati,9/1/2000,90.00%,20.7,7.8
6,Dan Mullen,Florida," $7,570,000 ",SEC,"$7,570,000 ",$0*,"$7,570,000 ",$0*,"$12,000,000 ",,6,Todd Grantham,Florida,"$1,801,500 ",SEC,"$1,801,500 ",$0 ,"$1,801,500 ",$0 ,—,,6,Tommy Moffitt,Louisiana State,"$547,000 ",SEC,"$540,000 ","$13,500 ","$526,500 ","$27,500 ",—,,Texas A&M,9/1/2000,90.00%,10.9,3
7,Jimbo Fisher,Texas A&M," $7,500,000 ",SEC,"$7,500,000 ",$0*,"$7,500,000 ",$0*,"$95,575,000 ",,7,Alex Grinch,Oklahoma,"$1,718,333 ",Big 12,"$1,800,000 ","$81,667 ","$1,718,333 ","$140,000 ",—,,7,David Ballou,Alabama,"$500,000 ",SEC,"$500,000 ",$0 ,"$500,000 ",$0 ,—,,Ball State,7/1/2000,87.50%,8.5,9.3
8,Kirby Smart,Georgia," $7,133,600 ",SEC,"$7,003,600 ",$0 ,"$7,003,600 ",$0 ,"$14,614,167 ",,8,Don Brown,Michigan,"$1,700,000 ",Big Ten,"$1,700,000 ",$0 ,"$1,700,000 ",$0 ,—,,8,Ryan Russell,Auburn,"$500,000 ",SEC,"$500,000 ",$0 ,"$500,000 ",$0 ,—,,San Jose St,7/1/2000,87.50%,8.8,6.9
9,Ryan Day,Ohio State," $6,614,693 ",Big Ten,"$6,750,000 ","$135,307*","$6,614,693 ","$236,877*","$28,416,668 ",,9,Jim Chaney,Tennessee,"$1,600,000 ",SEC,"$1,600,000 ",$0 ,"$1,600,000 ",$0 ,—,,9,Jay Butler,Rutgers,"$500,000 ",Big Ten,"$500,000 ",$0 ,"$500,000 ",$0 ,—,,Ohio State,7/1/2000,87.50%,15.2,0.3
